last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Gausman, Kevin,592332,93.9,,,82.1,,,83.5,
Pivetta, Nick,601713,94.6,92.8,,85.7,87.5,80.5,,
Peacock, Brad,502748,92.5,91.8,,81.3,83.4,78.6,,
Peralta, Freddy,642547,93.6,,,,89.9,77.2,,
Anderson, Shaun,641312,92.6,92.4,,86.3,86.0,77.8,,
Lambert, Peter,663567,92.7,92.0,,87.6,85.2,78.0,,
Montgomery, Mike,543557,91.6,92.3,87.7,,84.3,77.7,,
Pena, Felix,570240,91.2,91.5,,82.5,83.9,,,
Canning, Griffin,656288,93.9,,,88.9,89.1,82.0,,
Godley, Zack,643327,91.3,89.9,88.5,,83.3,81.8,,
Font, Wilmer,521655,94.4,93.7,,84.1,,76.4,84.7,
Clarke, Taylor,664199,93.7,93.1,,85.3,86.8,79.3,,
Barria, Jaime,642545,91.7,91.6,,83.9,83.2,,,
Suarez, Jose,660761,91.7,,,81.4,81.7,75.8,,
Montas, Frankie,593423,96.8,96.4,,88.4,,,86.8,
Holland, Derek,502706,,92.3,,81.1,83.8,77.7,,
Wojciechowski, Asher,592879,91.5,,,85.7,85.4,80.6,,
Stripling, Ross,548389,90.6,88.8,88.5,86.3,82.8,79.8,,
Hernandez, Elieser,622694,90.6,89.3,,78.5,82.2,,,
Green, Chad,643338,96.4,,,87.5,,,88.7,
Hess, David,605276,93.0,92.5,,83.4,85.5,77.3,,
Gaviglio, Sam,543208,,89.2,,84.3,82.5,79.8,,
Cessa, Luis,570666,94.6,93.9,,84.9,87.1,80.8,,
Gonzalez, Gio,461829,89.5,88.9,,,82.3,75.3,,
Urias, Julio,628711,95.1,95.5,,84.6,82.2,77.2,,
Gallen, Zac,668678,92.9,92.8,87.0,,85.0,79.2,,
Skaggs, Tyler,572140,91.3,,,,83.8,75.0,,
Yamamoto, Jordan,657141,91.5,90.8,85.9,79.0,82.9,74.7,,
Urena, Jose,570632,94.8,95.8,,85.8,90.1,84.7,,
Hudson, Daniel,543339,96.2,95.5,,86.8,88.6,,,
Cease, Dylan,656302,96.5,96.3,,84.7,83.1,79.5,,
Guerra, Junior,448855,94.6,94.8,,,,82.1,86.0,
Waguespack, Jacob,621097,92.3,90.2,89.2,85.8,83.0,78.7,,
Hendriks, Liam,521230,96.5,93.7,,88.5,,84.4,,
Jackson, Luke,592426,96.1,,,87.7,83.7,83.8,,
Young, Alex,622065,89.8,89.0,84.9,,84.5,81.5,,
Ramirez, Nick,598286,90.1,89.0,86.7,,79.1,78.3,,
Jackson, Edwin,429719,93.5,93.7,91.6,85.7,87.0,77.9,,
Barnes, Matt,598264,96.6,,,,,85.5,88.1,
Chavez, Jesse,445926,91.4,91.1,88.2,86.4,85.2,83.5,,
Barlow, Scott,605130,94.1,93.8,,83.8,87.3,77.2,,
Cortes Jr., Nestor,641482,89.6,89.1,,82.0,82.4,74.8,,
Lorenzen, Michael,547179,97.2,96.4,93.8,87.1,87.4,83.8,,
Stanek, Ryne,592773,97.6,,,89.6,,,88.3,
McHugh, Collin,543521,90.8,88.3,87.0,79.5,83.8,74.5,,
James, Josh,657624,97.2,,,84.8,89.1,81.7,,
Fedde, Erick,607200,92.3,92.3,87.2,,,79.2,85.3,
Chatwood, Tyler,543022,96.1,95.7,90.2,,87.7,81.4,,
Bradley, Archie,605151,95.5,95.1,,,88.4,82.1,,
Brebbia, John,605154,93.4,,,83.7,87.2,,,
Leclerc, Jose,600917,96.8,96.5,,82.0,89.8,77.0,,
Carrasco, Carlos,471911,93.8,92.7,,84.7,87.8,81.2,,
Peters, Dillon,596071,91.0,91.0,,82.9,84.0,76.7,,
